iter	Logloss
0	0.6551780868
1	0.621304754
2	0.5886947895
3	0.5599880286
4	0.5338275567
5	0.5094545771
6	0.4874147578
7	0.4686008662
8	0.4509157386
9	0.4345948142
10	0.4202242139
11	0.4067636392
12	0.394613348
13	0.3831988583
14	0.3730961845
15	0.3636666354
16	0.3553892981
17	0.3476591919
18	0.3404379489
19	0.333898279
20	0.3279475356
21	0.3219834097
22	0.3165600357
23	0.3115505026
24	0.3069827923
25	0.3027889238
26	0.2990910235
27	0.2955396858
28	0.292257417
29	0.289357406
30	0.2865491475
31	0.2841540717
32	0.281641178
33	0.2795885353
34	0.2774698157
35	0.2754802464
36	0.2737645578
37	0.2721558566
38	0.2706404866
39	0.2690739359
40	0.2676934084
41	0.2664899099
42	0.2652606304
43	0.2640658603
44	0.2629579392
45	0.261829122
46	0.260812789
47	0.2598812214
48	0.2589983616
49	0.258224359
50	0.2575416171
51	0.256867845
52	0.2561496076
53	0.2554306202
54	0.2548542664
55	0.2542624517
56	0.2537137765
57	0.2531356473
58	0.2526721532
59	0.2522226919
60	0.2517384271
61	0.2513746119
62	0.2509242237
63	0.2505109999
64	0.2502006984
65	0.2498483641
66	0.2495136413
67	0.2492204457
68	0.248868494
69	0.2485943432
70	0.2483047023
71	0.2479977444
72	0.2477057229
73	0.2473884963
74	0.2470990749
75	0.2468616864
76	0.246610219
77	0.2464232607
78	0.2461483837
79	0.2458769419
80	0.245633229
81	0.2454702621
82	0.2452486988
83	0.2450346263
84	0.2448360795
85	0.2446585777
86	0.2444794333
87	0.2443475471
88	0.2441510211
89	0.2439649942
90	0.2437886422
91	0.2436165896
92	0.2434734577
93	0.2433667464
94	0.2432106857
95	0.243038156
96	0.2429054103
97	0.2427105555
98	0.2426163147
99	0.2424627154
100	0.2423280065
101	0.242203769
102	0.2421196408
103	0.2420099963
104	0.2418627587
105	0.2417571153
106	0.2416680156
107	0.2415800503
108	0.2414865109
109	0.2413753702
110	0.2412961153
111	0.2411938884
112	0.2411295472
113	0.241036031
114	0.2409443892
115	0.2408824948
116	0.2407817207
117	0.2406932016
118	0.2406306744
119	0.240537844
120	0.2404676149
121	0.2403293772
122	0.2402522864
123	0.2401941162
124	0.2401321441
125	0.240040169
126	0.2399556518
127	0.2399066716
128	0.2398202722
129	0.2397624012
130	0.2396681107
131	0.2396157135
132	0.2395535389
133	0.2394748053
134	0.2394126166
135	0.2393670325
136	0.2392682665
137	0.2392228912
138	0.2391626087
139	0.2390969372
140	0.2390231394
141	0.2389719395
142	0.2389351028
143	0.238872294
144	0.2388177312
145	0.2387610871
146	0.2386840963
147	0.2386306541
148	0.2385708767
149	0.2384603679
150	0.2383944812
151	0.2383565636
152	0.238296035
153	0.2382558757
154	0.2381856243
155	0.2381202777
156	0.2380321547
157	0.2379902592
158	0.2379571904
159	0.237901362
160	0.2378583614
161	0.2378068644
162	0.2377337891
163	0.2376984006
164	0.2376588602
165	0.2375538172
166	0.2375143281
167	0.2374755853
168	0.2374369523
169	0.2373981769
170	0.2373655461
171	0.2373235305
172	0.2372783503
173	0.2372065762
174	0.2371729682
175	0.237104882
176	0.2370165018
177	0.2369677127
178	0.2369399061
179	0.2369147332
180	0.2368887994
181	0.2368493476
182	0.236815892
183	0.2367873834
184	0.2367535406
185	0.2367013399
186	0.2366710449
187	0.2366424399
188	0.2366086638
189	0.2365561665
190	0.2365279491
191	0.2364465256
192	0.2364176596
193	0.2363819407
194	0.2363355774
195	0.2362931257
196	0.2362220515
197	0.2361836771
198	0.2361520793
199	0.2361186801
200	0.2360973519
201	0.2360713001
202	0.2360284588
203	0.2359941996
204	0.235955112
205	0.235918921
206	0.2358932977
207	0.2358503416
208	0.2358238645
209	0.2357681866
210	0.235736239
211	0.2356481781
212	0.2356248024
213	0.2355983225
214	0.2355797861
215	0.2355580566
216	0.2354878694
217	0.2354539466
218	0.2354182762
219	0.2353943058
220	0.2353620359
221	0.2353466411
222	0.2353139256
223	0.2352783447
224	0.2352394909
225	0.2352098611
226	0.2351798329
227	0.2351549416
228	0.2350846741
229	0.2350372422
230	0.2350213452
231	0.2349853723
232	0.2349562259
233	0.2349231351
234	0.2348992755
235	0.2348445113
236	0.2348192242
237	0.2347844544
238	0.2347601058
239	0.2347390492
240	0.234713168
241	0.2346879527
242	0.2346219053
243	0.2345982654
244	0.2345758572
245	0.2345538758
246	0.2345344968
247	0.2345083152
248	0.2344520491
249	0.2344295985
250	0.2343940815
251	0.2343469941
252	0.234327628
253	0.2342704243
254	0.2342506591
255	0.2342062799
256	0.2341589281
257	0.2341139255
258	0.2340963338
259	0.2340716859
260	0.2340486619
261	0.2340269631
262	0.2339841384
263	0.2339635008
264	0.2339230535
265	0.2339061463
266	0.2338823958
267	0.2338606879
268	0.2338318132
269	0.233814112
270	0.2337958479
271	0.2337438791
272	0.2337310055
273	0.2336789603
274	0.233649138
275	0.2336271866
276	0.2336063832
277	0.2335880972
278	0.233540861
279	0.2335220788
280	0.2334964066
281	0.2334669297
282	0.2334489654
283	0.2334342488
284	0.2334178362
285	0.2334033774
286	0.2333750313
287	0.2333523416
288	0.233323936
289	0.2333054143
290	0.2332850997
291	0.2332640148
292	0.2332398203
